Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,58.820000,59.310001,58.380001,59.299999,59.299999,20187300
2022-01-04,59.730000,60.540001,59.590000,60.290001,60.290001,26141600
2022-01-05,60.090000,61.200001,60.049999,60.790001,60.790001,22507300
2022-01-06,60.470001,61.119999,60.439999,60.470001,60.470001,17902300
2022-01-07,60.279999,60.720001,60.060001,60.330002,60.330002,12307400
2022-01-10,60.549999,60.820000,60.180000,60.430000,60.430000,20954300
2022-01-11,60.430000,60.490002,59.840000,60.450001,60.450001,19369600
2022-01-12,60.529999,60.689999,60.189999,60.540001,60.540001,15753800
2022-01-13,60.540001,61.040001,60.389999,60.900002,60.900002,14318000
2022-01-14,60.939999,61.450001,60.360001,61.389999,61.389999,19726600
2022-01-18,61.060001,61.189999,60.450001,60.900002,60.900002,21976700
2022-01-19,60.660000,61.180000,60.560001,61.000000,61.000000,18654700
2022-01-20,61.000000,61.439999,60.720001,60.750000,60.750000,23002400
2022-01-21,61.080002,61.299999,60.400002,60.450001,60.450001,26643200
2022-01-24,59.900002,60.349998,58.570000,59.959999,59.959999,30185100
2022-01-25,59.360001,60.049999,58.689999,59.820000,59.820000,19027100
2022-01-26,59.790001,60.349998,59.209999,59.599998,59.599998,19190200
2022-01-27,59.880001,60.930000,59.500000,59.650002,59.650002,18893800
2022-01-28,59.389999,60.889999,58.939999,60.840000,60.840000,19101500
2022-01-31,60.299999,61.139999,60.150002,61.009998,61.009998,22045300
2022-02-01,60.910000,61.139999,60.160000,60.560001,60.560001,20841700
2022-02-02,60.619999,61.270000,60.560001,61.180000,61.180000,20225600
